Results Table 2



1,Time,Displacement,Force
,(s),(mm),(kgf)
"","0.0000","0.0000","0.3992"
"","0.0200","0.0009","0.3996"
"","0.0400","0.0103","0.4007"
"","0.0600","0.0241","0.4002"
"","0.0800","0.0400","0.3995"
"","0.1000","0.0564","0.4001"
"","0.1200","0.0728","0.4004"
"","0.1400","0.0870","0.3999"
"","0.1600","0.1034","0.4003"
"","0.1800","0.1170","0.4007"
"","0.2000","0.1323","0.4006"
"","0.2200","0.1450","0.3998"
"","0.2400","0.1595","0.4009"
"","0.2600","0.1728","0.4007"
"","0.2800","0.1883","0.4009"
"","0.3000","0.1995","0.4010"
"","0.3200","0.2148","0.4018"
"","0.3400","0.2278","0.4010"
"","0.3600","0.2425","0.4014"
"","0.3800","0.2544","0.4014"
"","0.4000","0.2691","0.4020"
"","0.4200","0.2811","0.4014"
"","0.4400","0.2961","0.4024"
"","0.4600","0.3084","0.4021"
"","0.4800","0.3220","0.4019"
"","0.5000","0.3344","0.4023"
"","0.5200","0.3487","0.4028"
"","0.5400","0.3616","0.4021"
"","0.5600","0.3734","0.4022"
"","0.5800","0.3880","0.4029"
"","0.6000","0.4005","0.4027"
"","0.6200","0.4148","0.4029"
"","0.6400","0.4264","0.4032"
"","0.6600","0.4408","0.4033"
"","0.6800","0.4523","0.4024"
"","0.7000","0.4681","0.4029"
"","0.7200","0.4798","0.4029"
"","0.7400","0.4939","0.4040"
"","0.7600","0.5064","0.4038"
"","0.7800","0.5214","0.4040"
"","0.8000","0.5334","0.4037"
"","0.8200","0.5470","0.4033"
"","0.8400","0.5616","0.4041"
"","0.8600","0.5748","0.4039"
"","0.8800","0.5887","0.4032"
"","0.9000","0.6012","0.4036"
"","0.9200","0.6148","0.4045"
"","0.9400","0.6278","0.4044"
"","0.9600","0.6430","0.4045"
"","0.9800","0.6536","0.4045"
"","1.0000","0.6686","0.4049"
"","1.0200","0.6812","0.4044"
"","1.0400","0.6958","0.4056"
"","1.0600","0.7069","0.4047"
"","1.0800","0.7222","0.4054"
"","1.1000","0.7344","0.4054"
"","1.1200","0.7486","0.4054"
"","1.1400","0.7614","0.4053"
"","1.1600","0.7747","0.4059"
"","1.1800","0.7878","0.4058"
"","1.2000","0.8016","0.4060"
"","1.2200","0.8152","0.4064"
"","1.2400","0.8267","0.4060"
"","1.2600","0.8417","0.4061"
"","1.2800","0.8544","0.4060"
"","1.3000","0.8687","0.4063"
"","1.3200","0.8805","0.4060"
"","1.3400","0.8955","0.4068"
"","1.3600","0.9075","0.4063"
"","1.3800","0.9227","0.4068"
"","1.4000","0.9347","0.4069"
"","1.4200","0.9481","0.4069"
"","1.4400","0.9606","0.4064"
"","1.4600","0.9752","0.4072"
"","1.4800","0.9875","0.4076"
"","1.5000","1.0003","0.4070"
"","1.5200","1.0147","0.4074"
"","1.5400","1.0277","0.4079"
"","1.5600","1.0417","0.4076"
"","1.5800","1.0537","0.4068"
"","1.6000","1.0680","0.4081"
"","1.6200","1.0805","0.4080"
"","1.6400","1.0956","0.4077"
"","1.6600","1.1064","0.4074"
"","1.6800","1.1214","0.4091"
"","1.7000","1.1339","0.4085"
"","1.7200","1.1487","0.4085"
"","1.7400","1.1605","0.4089"
"","1.7600","1.1750","0.4094"
"","1.7800","1.1878","0.4085"
"","1.8000","1.2022","0.4091"
"","1.8200","1.2153","0.4096"
"","1.8400","1.2277","0.4087"
"","1.8600","1.2414","0.4095"
"","1.8800","1.2550","0.4100"
"","1.9000","1.2687","0.4092"
"","1.9200","1.2800","0.4091"
"","1.9400","1.2955","0.4104"
"","1.9600","1.3077","0.4094"
"","1.9800","1.3223","0.4096"
"","2.0000","1.3339","0.4095"
"","2.0200","1.3487","0.4104"
"","2.0400","1.3606","0.4097"
"","2.0600","1.3756","0.4105"
