Results Table 2



1,Time,Displacement,Force
,(s),(mm),(kgf)
"","0.0000","0.0000","0.4600"
"","0.0200","0.0006","0.4607"
"","0.0400","0.0094","0.4618"
"","0.0600","0.0261","0.4619"
"","0.0800","0.0406","0.4609"
"","0.1000","0.0583","0.4610"
"","0.1200","0.0727","0.4604"
"","0.1400","0.0880","0.4606"
"","0.1600","0.1033","0.4607"
"","0.1800","0.1172","0.4602"
"","0.2000","0.1309","0.4600"
"","0.2200","0.1456","0.4611"
"","0.2400","0.1595","0.4611"
"","0.2600","0.1736","0.4606"
"","0.2800","0.1866","0.4606"
"","0.3000","0.2005","0.4611"
"","0.3200","0.2141","0.4610"
"","0.3400","0.2283","0.4610"
"","0.3600","0.2397","0.4606"
"","0.3800","0.2545","0.4611"
"","0.4000","0.2677","0.4612"
"","0.4200","0.2823","0.4616"
"","0.4400","0.2936","0.4606"
"","0.4600","0.3091","0.4609"
"","0.4800","0.3209","0.4606"
"","0.5000","0.3362","0.4611"
"","0.5200","0.3481","0.4608"
"","0.5400","0.3617","0.4606"
"","0.5600","0.3747","0.4609"
"","0.5800","0.3897","0.4618"
"","0.6000","0.4011","0.4614"
"","0.6200","0.4142","0.4611"
"","0.6400","0.4287","0.4613"
"","0.6600","0.4412","0.4608"
"","0.6800","0.4552","0.4612"
"","0.7000","0.4675","0.4610"
"","0.7200","0.4822","0.4613"
"","0.7400","0.4945","0.4609"
"","0.7600","0.5098","0.4615"
"","0.7800","0.5208","0.4616"
"","0.8000","0.5355","0.4614"
"","0.8200","0.5477","0.4607"
"","0.8400","0.5625","0.4615"
"","0.8600","0.5736","0.4613"
"","0.8800","0.5880","0.4614"
"","0.9000","0.6012","0.4612"
"","0.9200","0.6153","0.4614"
"","0.9400","0.6284","0.4614"
"","0.9600","0.6412","0.4615"
"","0.9800","0.6550","0.4616"
"","1.0000","0.6680","0.4612"
"","1.0200","0.6823","0.4616"
"","1.0400","0.6941","0.4617"
"","1.0600","0.7081","0.4621"
"","1.0800","0.7205","0.4612"
"","1.1000","0.7356","0.4611"
"","1.1200","0.7466","0.4612"
"","1.1400","0.7616","0.4621"
"","1.1600","0.7739","0.4617"
"","1.1800","0.7886","0.4615"
"","1.2000","0.8006","0.4613"
"","1.2200","0.8142","0.4621"
"","1.2400","0.8272","0.4618"
"","1.2600","0.8411","0.4617"
"","1.2800","0.8547","0.4616"
"","1.3000","0.8667","0.4615"
"","1.3200","0.8812","0.4621"
"","1.3400","0.8944","0.4620"
"","1.3600","0.9084","0.4615"
"","1.3800","0.9202","0.4612"
"","1.4000","0.9356","0.4625"
"","1.4200","0.9475","0.4619"
"","1.4400","0.9631","0.4620"
"","1.4600","0.9747","0.4615"
"","1.4800","0.9887","0.4622"
"","1.5000","1.0016","0.4617"
"","1.5200","1.0164","0.4618"
"","1.5400","1.0277","0.4615"
"","1.5600","1.0412","0.4621"
"","1.5800","1.0552","0.4625"
"","1.6000","1.0684","0.4622"
"","1.6200","1.0817","0.4618"
"","1.6400","1.0944","0.4618"
"","1.6600","1.1087","0.4623"
"","1.6800","1.1209","0.4623"
"","1.7000","1.1358","0.4622"
"","1.7200","1.1472","0.4615"
"","1.7400","1.1617","0.4619"
"","1.7600","1.1737","0.4620"
"","1.7800","1.1891","0.4624"
"","1.8000","1.1995","0.4617"
"","1.8200","1.2145","0.4625"
"","1.8400","1.2275","0.4619"
"","1.8600","1.2417","0.4622"
"","1.8800","1.2545","0.4628"
"","1.9000","1.2680","0.4624"
"","1.9200","1.2814","0.4620"
"","1.9400","1.2953","0.4623"
"","1.9600","1.3087","0.4625"
"","1.9800","1.3209","0.4618"
"","2.0000","1.3350","0.4621"
"","2.0200","1.3478","0.4626"
"","2.0400","1.3623","0.4629"
"","2.0600","1.3733","0.4621"
"","2.0800","1.3886","0.4629"
"","2.1000","1.4003","0.4625"
"","2.1200","1.4155","0.4624"
"","2.1400","1.4272","0.4622"
"","2.1600","1.4414","0.4626"
"","2.1800","1.4539","0.4623"
"","2.2000","1.4684","0.4627"
"","2.2200","1.4811","0.4631"
"","2.2400","1.4937","0.4628"
"","2.2600","1.5072","0.4623"
"","2.2800","1.5209","0.4624"
"","2.3000","1.5347","0.4628"
"","2.3200","1.5464","0.4625"
"","2.3400","1.5619","0.4628"
"","2.3600","1.5742","0.4626"
"","2.3800","1.5894","0.4628"
"","2.4000","1.6009","0.4623"
"","2.4200","1.6153","0.4628"
"","2.4400","1.6278","0.4626"
"","2.4600","1.6430","0.4629"
"","2.4800","1.6539","0.4629"
"","2.5000","1.6678","0.4636"
"","2.5200","1.6814","0.4630"
"","2.5400","1.6952","0.4625"
"","2.5600","1.7078","0.4629"
"","2.5800","1.7211","0.4630"
"","2.6000","1.7347","0.4625"
"","2.6200","1.7478","0.4630"
"","2.6400","1.7620","0.4632"
"","2.6600","1.7736","0.4627"
"","2.6800","1.7883","0.4633"
"","2.7000","1.8005","0.4628"
"","2.7200","1.8156","0.4627"
"","2.7400","1.8264","0.4625"
"","2.7600","1.8417","0.4638"
"","2.7800","1.8537","0.4630"
"","2.8000","1.8686","0.4626"
"","2.8200","1.8809","0.4624"
"","2.8400","1.8948","0.4636"
"","2.8600","1.9080","0.4636"
"","2.8800","1.9222","0.4630"
"","2.9000","1.9356","0.4627"
"","2.9200","1.9481","0.4628"
"","2.9400","1.9617","0.4632"
"","2.9600","1.9748","0.4633"
"","2.9800","1.9887","0.4636"
"","3.0000","2.0000","0.4628"
"","3.0200","2.0153","0.4635"
"","3.0400","2.0273","0.4634"
"","3.0600","2.0423","0.4635"
"","3.0800","2.0541","0.4628"
"","3.1000","2.0683","0.4636"
"","3.1200","2.0806","0.4634"
"","3.1400","2.0953","0.4636"
"","3.1600","2.1075","0.4635"
"","3.1800","2.1209","0.4637"
"","3.2000","2.1342","0.4635"
"","3.2200","2.1483","0.4638"
"","3.2400","2.1612","0.4636"
"","3.2600","2.1737","0.4629"
"","3.2800","2.1883","0.4634"
"","3.3000","2.2006","0.4636"
"","3.3200","2.2158","0.4641"
"","3.3400","2.2273","0.4634"
"","3.3600","2.2419","0.4635"
"","3.3800","2.2544","0.4635"
"","3.4000","2.2695","0.4639"
"","3.4200","2.2802","0.4634"
"","3.4400","2.2947","0.4636"
"","3.4600","2.3077","0.4636"
"","3.4800","2.3217","0.4640"
"","3.5000","2.3339","0.4635"
"","3.5200","2.3477","0.4637"
"","3.5400","2.3612","0.4638"
"","3.5600","2.3745","0.4636"
"","3.5800","2.3884","0.4641"
"","3.6000","2.4005","0.4643"
"","3.6200","2.4147","0.4636"
"","3.6400","2.4273","0.4629"
"","3.6600","2.4427","0.4644"
"","3.6800","2.4530","0.4637"
"","3.7000","2.4681","0.4634"
"","3.7200","2.4806","0.4637"
"","3.7400","2.4956","0.4645"
"","3.7600","2.5070","0.4638"
"","3.7800","2.5217","0.4645"
"","3.8000","2.5342","0.4644"
"","3.8200","2.5486","0.4641"
"","3.8400","2.5617","0.4641"
"","3.8600","2.5747","0.4645"
"","3.8800","2.5875","0.4638"
"","3.9000","2.6012","0.4635"
"","3.9200","2.6148","0.4639"
"","3.9400","2.6269","0.4638"
"","3.9600","2.6422","0.4640"
"","3.9800","2.6542","0.4639"
"","4.0000","2.6689","0.4643"
"","4.0200","2.6805","0.4639"
"","4.0400","2.6952","0.4648"
"","4.0600","2.7067","0.4642"
"","4.0800","2.7223","0.4642"
"","4.1000","2.7337","0.4639"
"","4.1200","2.7473","0.4645"
"","4.1400","2.7603","0.4644"
"","4.1600","2.7752","0.4645"
"","4.1800","2.7872","0.4641"
"","4.2000","2.8005","0.4641"
"","4.2200","2.8150","0.4648"
"","4.2400","2.8278","0.4642"
"","4.2600","2.8422","0.4639"
"","4.2800","2.8542","0.4641"
"","4.3000","2.8681","0.4649"
"","4.3200","2.8806","0.4648"
"","4.3400","2.8961","0.4651"
"","4.3600","2.9067","0.4640"
"","4.3800","2.9217","0.4642"
"","4.4000","2.9345","0.4645"
"","4.4200","2.9491","0.4651"
"","4.4400","2.9603","0.4638"
"","4.4600","2.9752","0.4646"
