Results Table 2



1,Time,Displacement,Force
,(s),(mm),(kgf)
"","0.0000","0.0000","0.4099"
"","0.0200","0.0011","0.4096"
"","0.0400","0.0108","0.4111"
"","0.0600","0.0242","0.4116"
"","0.0800","0.0402","0.4112"
"","0.1000","0.0566","0.4114"
"","0.1200","0.0730","0.4120"
"","0.1400","0.0870","0.4120"
"","0.1600","0.1034","0.4131"
"","0.1800","0.1170","0.4133"
"","0.2000","0.1323","0.4149"
"","0.2200","0.1450","0.4149"
"","0.2400","0.1597","0.4155"
"","0.2600","0.1728","0.4158"
"","0.2800","0.1883","0.4166"
"","0.3000","0.1995","0.4166"
"","0.3200","0.2147","0.4176"
"","0.3400","0.2278","0.4176"
"","0.3600","0.2425","0.4183"
"","0.3800","0.2544","0.4188"
"","0.4000","0.2691","0.4198"
"","0.4200","0.2812","0.4204"
"","0.4400","0.2961","0.4207"
"","0.4600","0.3084","0.4211"
"","0.4800","0.3219","0.4220"
"","0.5000","0.3344","0.4221"
"","0.5200","0.3487","0.4227"
"","0.5400","0.3616","0.4231"
"","0.5600","0.3733","0.4231"
"","0.5800","0.3880","0.4238"
"","0.6000","0.4005","0.4241"
"","0.6200","0.4148","0.4255"
"","0.6400","0.4264","0.4252"
"","0.6600","0.4408","0.4258"
"","0.6800","0.4525","0.4262"
"","0.7000","0.4681","0.4268"
"","0.7200","0.4798","0.4266"
"","0.7400","0.4939","0.4278"
"","0.7600","0.5064","0.4284"
"","0.7800","0.5216","0.4290"
"","0.8000","0.5334","0.4291"
"","0.8200","0.5472","0.4298"
"","0.8400","0.5616","0.4301"
"","0.8600","0.5748","0.4305"
"","0.8800","0.5887","0.4316"
"","0.9000","0.6011","0.4315"
"","0.9200","0.6148","0.4315"
"","0.9400","0.6278","0.4325"
"","0.9600","0.6430","0.4334"
"","0.9800","0.6536","0.4328"
"","1.0000","0.6686","0.4344"
"","1.0200","0.6812","0.4349"
"","1.0400","0.6958","0.4352"
"","1.0600","0.7069","0.4353"
"","1.0800","0.7220","0.4368"
"","1.1000","0.7344","0.4364"
"","1.1200","0.7486","0.4366"
"","1.1400","0.7614","0.4372"
"","1.1600","0.7747","0.4377"
"","1.1800","0.7877","0.4381"
"","1.2000","0.8016","0.4388"
"","1.2200","0.8152","0.4391"
"","1.2400","0.8266","0.4396"
"","1.2600","0.8417","0.4404"
"","1.2800","0.8544","0.4402"
"","1.3000","0.8687","0.4408"
"","1.3200","0.8805","0.4412"
"","1.3400","0.8955","0.4422"
"","1.3600","0.9073","0.4422"
"","1.3800","0.9225","0.4431"
"","1.4000","0.9347","0.4430"
"","1.4200","0.9481","0.4433"
"","1.4400","0.9606","0.4441"
"","1.4600","0.9752","0.4449"
"","1.4800","0.9873","0.4451"
"","1.5000","1.0002","0.4461"
"","1.5200","1.0147","0.4463"
"","1.5400","1.0277","0.4458"
"","1.5600","1.0417","0.4470"
"","1.5800","1.0537","0.4478"
"","1.6000","1.0680","0.4478"
"","1.6200","1.0803","0.4479"
"","1.6400","1.0956","0.4490"
"","1.6600","1.1064","0.4489"
"","1.6800","1.1214","0.4496"
"","1.7000","1.1337","0.4500"
"","1.7200","1.1486","0.4512"
"","1.7400","1.1603","0.4508"
"","1.7600","1.1748","0.4514"
"","1.7800","1.1878","0.4523"
"","1.8000","1.2022","0.4525"
"","1.8200","1.2155","0.4525"
"","1.8400","1.2277","0.4533"
"","1.8600","1.2416","0.4540"
"","1.8800","1.2552","0.4540"
"","1.9000","1.2687","0.4548"
"","1.9200","1.2800","0.4552"
"","1.9400","1.2956","0.4557"
"","1.9600","1.3077","0.4559"
"","1.9800","1.3223","0.4568"
"","2.0000","1.3341","0.4567"
"","2.0200","1.3487","0.4572"
"","2.0400","1.3606","0.4578"
"","2.0600","1.3756","0.4589"
"","2.0800","1.3873","0.4584"
"","2.1000","1.4008","0.4595"
"","2.1200","1.4142","0.4601"
"","2.1400","1.4280","0.4599"
"","2.1600","1.4405","0.4601"
"","2.1800","1.4533","0.4611"
"","2.2000","1.4681","0.4615"
"","2.2200","1.4809","0.4616"
"","2.2400","1.4958","0.4626"
"","2.2600","1.5075","0.4625"
"","2.2800","1.5214","0.4635"
"","2.3000","1.5345","0.4637"
"","2.3200","1.5495","0.4643"
"","2.3400","1.5602","0.4640"
"","2.3600","1.5753","0.4649"
"","2.3800","1.5878","0.4653"
"","2.4000","1.6019","0.4663"
"","2.4200","1.6142","0.4663"
"","2.4400","1.6281","0.4668"
"","2.4600","1.6403","0.4672"
"","2.4800","1.6545","0.4679"
"","2.5000","1.6686","0.4683"
"","2.5200","1.6798","0.4682"
"","2.5400","1.6942","0.4691"
"","2.5600","1.7078","0.4693"
"","2.5800","1.7216","0.4700"
"","2.6000","1.7325","0.4707"
"","2.6200","1.7484","0.4712"
"","2.6400","1.7602","0.4710"
"","2.6600","1.7752","0.4719"
"","2.6800","1.7875","0.4722"
"","2.7000","1.8020","0.4730"
"","2.7200","1.8136","0.4735"
"","2.7400","1.8295","0.4737"
"","2.7600","1.8417","0.4735"
"","2.7800","1.8544","0.4744"
"","2.8000","1.8689","0.4751"
"","2.8200","1.8827","0.4752"
"","2.8400","1.8945","0.4752"
"","2.8600","1.9073","0.4759"
"","2.8800","1.9228","0.4770"
"","2.9000","1.9341","0.4766"
"","2.9200","1.9495","0.4776"
"","2.9400","1.9614","0.4779"
"","2.9600","1.9750","0.4782"
"","2.9800","1.9877","0.4784"
"","3.0000","2.0039","0.4798"
"","3.0200","2.0144","0.4795"
"","3.0400","2.0291","0.4803"
"","3.0600","2.0422","0.4805"
"","3.0800","2.0556","0.4812"
"","3.1000","2.0675","0.4812"
"","3.1200","2.0814","0.4818"
"","3.1400","2.0945","0.4821"
"","3.1600","2.1078","0.4824"
"","3.1800","2.1222","0.4832"
"","3.2000","2.1342","0.4841"
"","3.2200","2.1480","0.4848"
"","3.2400","2.1614","0.4845"
"","3.2600","2.1761","0.4850"
"","3.2800","2.1867","0.4851"
"","3.3000","2.2014","0.4861"
"","3.3200","2.2133","0.4858"
"","3.3400","2.2277","0.4868"
"","3.3600","2.2391","0.4871"
"","3.3800","2.2536","0.4876"
"","3.4000","2.2662","0.4878"
"","3.4200","2.2806","0.4885"
"","3.4400","2.2942","0.4887"
"","3.4600","2.3066","0.4889"
"","3.4800","2.3203","0.4898"
"","3.5000","2.3339","0.4902"
"","3.5200","2.3481","0.4910"
"","3.5400","2.3594","0.4908"
"","3.5600","2.3748","0.4917"
"","3.5800","2.3872","0.4917"
"","3.6000","2.4020","0.4927"
"","3.6200","2.4137","0.4926"
"","3.6400","2.4294","0.4935"
"","3.6600","2.4416","0.4937"
"","3.6800","2.4572","0.4942"
"","3.7000","2.4684","0.4946"
"","3.7200","2.4823","0.4957"
"","3.7400","2.4955","0.4953"
"","3.7600","2.5097","0.4958"
"","3.7800","2.5214","0.4962"
"","3.8000","2.5347","0.4969"
"","3.8200","2.5489","0.4974"
"","3.8400","2.5612","0.4974"
"","3.8600","2.5759","0.4987"
"","3.8800","2.5881","0.4985"
"","3.9000","2.6020","0.4989"
"","3.9200","2.6147","0.4997"
"","3.9400","2.6297","0.5002"
"","3.9600","2.6400","0.4991"
"","3.9800","2.6550","0.5007"
"","4.0000","2.6677","0.5016"
"","4.0200","2.6820","0.5012"
"","4.0400","2.6934","0.5010"
"","4.0600","2.7080","0.5028"
"","4.0800","2.7208","0.5029"
"","4.1000","2.7347","0.5027"
"","4.1200","2.7487","0.5038"
"","4.1400","2.7609","0.5043"
"","4.1600","2.7747","0.5038"
"","4.1800","2.7883","0.5047"
"","4.2000","2.8025","0.5062"
"","4.2200","2.8139","0.5056"
"","4.2400","2.8284","0.5056"
"","4.2600","2.8406","0.5064"
"","4.2800","2.8558","0.5072"
"","4.3000","2.8667","0.5067"
"","4.3200","2.8816","0.5076"
"","4.3400","2.8939","0.5088"
"","4.3600","2.9091","0.5089"
"","4.3800","2.9211","0.5084"
"","4.4000","2.9348","0.5106"
"","4.4200","2.9478","0.5104"
"","4.4400","2.9617","0.5099"
"","4.4600","2.9748","0.5110"
"","4.4800","2.9870","0.5116"
"","4.5000","3.0012","0.5116"
"","4.5200","3.0141","0.5119"
"","4.5400","3.0286","0.5129"
"","4.5600","3.0402","0.5124"
"","4.5800","3.0556","0.5142"
"","4.6000","3.0677","0.5145"
"","4.6200","3.0828","0.5149"
"","4.6400","3.0947","0.5151"
"","4.6600","3.1086","0.5152"
"","4.6800","3.1211","0.5157"
"","4.7000","3.1362","0.5170"
"","4.7200","3.1477","0.5161"
"","4.7400","3.1609","0.5164"
"","4.7600","3.1752","0.5178"
"","4.7800","3.1878","0.5177"
"","4.8000","3.2017","0.5181"
"","4.8200","3.2141","0.5189"
"","4.8400","3.2283","0.5193"
"","4.8600","3.2409","0.5190"
"","4.8800","3.2561","0.5208"
"","4.9000","3.2670","0.5208"
"","4.9200","3.2817","0.5208"
"","4.9400","3.2942","0.5214"
"","4.9600","3.3089","0.5225"
"","4.9800","3.3198","0.5218"
"","5.0000","3.3347","0.5223"
"","5.0200","3.3477","0.5235"
"","5.0400","3.3622","0.5239"
"","5.0600","3.3753","0.5234"
"","5.0800","3.3883","0.5246"
"","5.1000","3.4016","0.5254"
"","5.1200","3.4156","0.5251"
"","5.1400","3.4289","0.5252"
"","5.1600","3.4408","0.5262"
"","5.1800","3.4552","0.5270"
"","5.2000","3.4678","0.5267"
"","5.2200","3.4823","0.5277"
"","5.2400","3.4936","0.5278"
"","5.2600","3.5086","0.5276"
"","5.2800","3.5203","0.5279"
"","5.3000","3.5356","0.5297"
"","5.3200","3.5473","0.5289"
"","5.3400","3.5609","0.5291"
"","5.3600","3.5737","0.5304"
"","5.3800","3.5881","0.5310"
"","5.4000","3.6006","0.5308"
"","5.4200","3.6134","0.5317"
"","5.4400","3.6278","0.5324"
"","5.4600","3.6403","0.5317"
"","5.4800","3.6547","0.5324"
"","5.5000","3.6669","0.5333"
"","5.5200","3.6814","0.5338"
"","5.5400","3.6936","0.5334"
"","5.5600","3.7097","0.5347"
"","5.5800","3.7206","0.5346"
"","5.6000","3.7350","0.5351"
"","5.6200","3.7481","0.5356"
"","5.6400","3.7628","0.5365"
"","5.6600","3.7736","0.5359"
"","5.6800","3.7881","0.5368"
"","5.7000","3.8016","0.5374"
"","5.7200","3.8150","0.5380"
"","5.7400","3.8287","0.5385"
"","5.7600","3.8417","0.5387"
"","5.7800","3.8552","0.5393"
"","5.8000","3.8684","0.5391"
"","5.8200","3.8825","0.5394"
"","5.8400","3.8937","0.5401"
"","5.8600","3.9086","0.5411"
"","5.8800","3.9211","0.5410"
"","5.9000","3.9356","0.5415"
"","5.9200","3.9466","0.5415"
"","5.9400","3.9619","0.5425"
"","5.9600","3.9739","0.5427"
"","5.9800","3.9889","0.5435"
"","6.0000","4.0014","0.5434"
"","6.0200","4.0152","0.5437"
"","6.0400","4.0280","0.5442"
"","6.0600","4.0422","0.5452"
"","6.0800","4.0552","0.5453"
"","6.1000","4.0675","0.5449"
"","6.1200","4.0816","0.5458"
"","6.1400","4.0941","0.5461"
"","6.1600","4.1084","0.5465"
"","6.1800","4.1198","0.5470"
"","6.2000","4.1350","0.5482"
"","6.2200","4.1469","0.5477"
"","6.2400","4.1627","0.5485"
"","6.2600","4.1742","0.5485"
"","6.2800","4.1880","0.5493"
"","6.3000","4.2008","0.5489"
"","6.3200","4.2156","0.5501"
"","6.3400","4.2270","0.5504"
"","6.3600","4.2406","0.5506"
"","6.3800","4.2544","0.5511"
"","6.4000","4.2675","0.5513"
"","6.4200","4.2814","0.5518"
"","6.4400","4.2942","0.5527"
"","6.4600","4.3084","0.5534"
"","6.4800","4.3214","0.5530"
"","6.5000","4.3366","0.5536"
"","6.5200","4.3481","0.5544"
"","6.5400","4.3622","0.5546"
"","6.5600","4.3747","0.5546"
"","6.5800","4.3895","0.5553"
"","6.6000","4.4002","0.5554"
"","6.6200","4.4150","0.5563"
"","6.6400","4.4278","0.5565"
"","6.6600","4.4419","0.5574"
"","6.6800","4.4547","0.5577"
"","6.7000","4.4678","0.5575"
"","6.7200","4.4811","0.5578"
"","6.7400","4.4952","0.5588"
"","6.7600","4.5087","0.5590"
"","6.7800","4.5202","0.5590"
"","6.8000","4.5348","0.5601"
"","6.8200","4.5473","0.5596"
"","6.8400","4.5620","0.5600"
"","6.8600","4.5730","0.5607"
"","6.8800","4.5883","0.5618"
"","6.9000","4.6000","0.5612"
"","6.9200","4.6155","0.5624"
"","6.9400","4.6275","0.5625"
"","6.9600","4.6427","0.5629"
"","6.9800","4.6547","0.5627"
"","7.0000","4.6692","0.5642"
